subject,rating_col,rating,song_id,genre_allmusic,trackname,danceability,valence,energy,acousticness,instrumentalness,speechiness,liveness,tempo,loudness,density,like_label,danceability_like,valence_like,energy_like,acousticness_like,instrumentalness_like,speechiness_like,liveness_like,tempo_like,loudness_like,density_like,preferred_genre
S106,s42r,5.0,42,rap,HUMBLE.,0.908,0.421,0.621,0.000282,5.39e-05,0.102,0.0958,150.011,-6.638,21.33760309,like,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S106,s35r,1.0,35,electronic,The Prince,0.61,0.299,0.781,0.00361,0.135,0.0379,0.323,95.003,-5.694,485.3799732,dislike,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S106,s51r,3.0,51,rnb,A Song for You,0.332,0.0719,0.22,0.821,0.000205,0.036,0.245,100.196,-13.157,1.052024647,neutral,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S106,s14r,4.0,14,classical,"Organ Sonata No. 4, BWV 528: 2. Andante [Adagio] (Transcr. by August Stradal)",0.384,0.0618,0.0414,0.992,0.897,0.0378,0.0684,71.224,-23.019,865.4244028,like,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S106,s33r,3.0,33,electronic,Arguru 2k19,0.702,0.284,0.603,0.0253,0.802,0.0519,0.118,128.0,-7.532,16.6168163,neutral,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S106,s6r,4.0,6,pop-rock,She Sells Sanctuary,0.55,0.419,0.765,4.76e-06,0.873,0.0287,0.132,139.46,-8.684,144.2120256,like,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S106,s52r,4.0,52,rnb,Un-Break My Heart - Classic Radio Mix,0.764,0.353,0.966,0.105,4.34e-05,0.0506,0.12,122.674,-6.286,0.040596158,like,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S106,s4r,5.0,4,pop-rock,Runaway Train,0.613,0.561,0.72,0.0132,0.0,0.0425,0.104,117.341,-7.957,18.64502102,like,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S106,s59r,4.0,59,rnb,"When the Going Gets Tough, The Tough Get Going",0.755,0.932,0.763,0.405,0.0,0.0473,0.318,122.045,-6.318,4.188671489,like,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S107,s35r,1.0,35,electronic,The Prince,0.61,0.299,0.781,0.00361,0.135,0.0379,0.323,95.003,-5.694,485.3799732,dislike,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s46r,3.0,46,rap,I Need a Girl (Pt. 1) [feat. Usher & Loon],0.66,0.761,0.707,0.397,0.0,0.208,0.211,89.279,-5.758,2.664406824,neutral,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s15r,3.0,15,classical,"Water Music Suite No. 1 In F, HWV 348: 2. Adagio e staccato",0.201,0.0842,0.036,0.95,0.891,0.0445,0.116,106.02,-24.204,135.7743758,neutral,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s34r,2.0,34,electronic,Colours,0.628,0.107,0.814,0.0277,2.34e-05,0.1,0.138,125.016,-5.743,5.17035846,dislike,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s58r,3.0,58,rnb,Be My Baby,0.512,0.803,0.771,0.168,0.0,0.0402,0.0895,129.639,-7.006,9.392343334,neutral,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s2r,4.0,2,pop-rock,Beast Of Burden - Remastered,0.783,0.885,0.878,0.39,0.000778,0.0308,0.0426,100.626,-3.864,3.247493243,like,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s6r,2.0,6,pop-rock,She Sells Sanctuary,0.55,0.419,0.765,4.76e-06,0.873,0.0287,0.132,139.46,-8.684,144.2120256,dislike,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s3r,4.0,3,pop-rock,Centerfold,0.653,0.888,0.677,0.249,0.0,0.0396,0.403,114.37,-12.244,19.30405677,like,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s42r,1.0,42,rap,HUMBLE.,0.908,0.421,0.621,0.000282,5.39e-05,0.102,0.0958,150.011,-6.638,21.33760309,dislike,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s51r,4.0,51,rnb,A Song for You,0.332,0.0719,0.22,0.821,0.000205,0.036,0.245,100.196,-13.157,1.052024647,like,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s11r,2.0,11,classical,"Requiem in D Minor, K. 626: 3. Sequentia: Dies irae - Live",0.46,0.513,0.387,0.934,0.279,0.0311,0.48,72.376,-13.384,7.68764185,dislike,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s16r,2.0,16,classical,"Manon Lescaut / Act 2: ""In quelle trine morbide""",0.181,0.0383,0.114,0.987,0.0779,0.0501,0.1,168.13,-17.469,3399.922569,dislike,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s18r,2.0,18,classical,Danza Hungara Nº5,0.33,0.33,0.159,0.83,0.4,0.0486,0.145,143.229,-15.943,5.668184706,dislike,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s13r,3.0,13,classical,"Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse",0.241,0.187,0.122,0.925,0.66,0.0497,0.126,66.325,-22.411,59.96761182,neutral,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S107,s47r,2.0,47,rap,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",0.545,0.277,0.781,0.0139,0.0,0.185,0.161,150.097,-3.616,17.26857654,dislike,0.5893333333333334,0.6149666666666667,0.5916666666666667,0.48666666666666664,0.00032766666666666664,0.03546666666666667,0.2302,105.06400000000001,-9.755,7.86785822,pop-rock
S128,s6r,4.0,6,pop-rock,She Sells Sanctuary,0.55,0.419,0.765,4.76e-06,0.873,0.0287,0.132,139.46,-8.684,144.2120256,like,0.54225,0.39575000000000005,0.6245,0.046751190000000005,0.4385214,0.033100000000000004,0.120825,114.94,-8.82625,43.017827952750004,pop-rock
S128,s4r,4.0,4,pop-rock,Runaway Train,0.613,0.561,0.72,0.0132,0.0,0.0425,0.104,117.341,-7.957,18.64502102,like,0.54225,0.39575000000000005,0.6245,0.046751190000000005,0.4385214,0.033100000000000004,0.120825,114.94,-8.82625,43.017827952750004,pop-rock
S128,s10r,3.0,10,pop-rock,Ramble On - 1990 Remaster,0.468,0.886,0.607,0.072,0.000852,0.0336,0.225,98.429,-11.367,8.623594407,neutral,0.54225,0.39575000000000005,0.6245,0.046751190000000005,0.4385214,0.033100000000000004,0.120825,114.94,-8.82625,43.017827952750004,pop-rock
S128,s30r,2.0,30,country,I'm Alright,0.676,0.591,0.733,0.191,0.0,0.0294,0.192,98.234,-7.745,10.10065238,dislike,0.54225,0.39575000000000005,0.6245,0.046751190000000005,0.4385214,0.033100000000000004,0.120825,114.94,-8.82625,43.017827952750004,pop-rock
S128,s41r,3.0,41,rap,Revenge,0.844,0.476,0.574,0.306,0.0,0.382,0.11,158.047,-4.886,1.629350053,neutral,0.54225,0.39575000000000005,0.6245,0.046751190000000005,0.4385214,0.033100000000000004,0.120825,114.94,-8.82625,43.017827952750004,pop-rock
S128,s47r,3.0,47,rap,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",0.545,0.277,0.781,0.0139,0.0,0.185,0.161,150.097,-3.616,17.26857654,neutral,0.54225,0.39575000000000005,0.6245,0.046751190000000005,0.4385214,0.033100000000000004,0.120825,114.94,-8.82625,43.017827952750004,pop-rock
